location,day,time,title,presenter,description,field
Creator Stage 3,Friday,3:15 PM,"Hey Adversary, I've Got a Human EDR Bypass for You…",Daniel Isler,"Subtitle: The Scout's Field Guide to human risk telemetry: Weaponizing complacent corporate conditioning, tracking the legacy Human EDR, and surviving the wilderness. Enterprise security leadership is currently suffering from a dangerous cognitive bias: confusing compliance with operational resilience.",Red Team / Adversary Emulation
Creator Stage 7,Friday,3:15 PM,Breaking Secure: Antigenic Fun,Jon McCoy; Andra Lezza,"How do you secure an autonomous system that can think for itself? We're diving into the lifecycle of ""Antigenic"" systems.",AI/ML Security
Creator Stage 1,Friday,3:30 PM,Privacy's Defender: How Hackers Protected the Internet Before and Can Do It Again,Cindy Cohn,"EFF's Outgoing Executive Director Cindy Cohn' presents her first-person stories from her recently published book, Privacy's Defender, that take you Inside the privacy battles that have shaped today's Internet. It includes the hackers who helped free up encryption technology from US governmental control, allowing us to...",Privacy & Policy
Creator Stage 4,Friday,3:30 PM,Forensics of Covert Entry,Bill Graydon; Bobby Graydon,"An introduction to the forensic traces left behind by lockpicking, lock bypass, and alarm/surveillance evasion during covert physical entry.",Forensics & Incident Response
Creator Stage 5,Friday,3:30 PM,"Cleared for Takeoff: Debunking ""Uncertifiable"" Cybersecurity",Katie Fejer,"Cybersecurity threats are rapidly becoming a first-order safety concern in critical aviation systems. Increasing in-flight connectivity, satellite communications, and networked avionics have eroded the assumption of airborne isolation.",Aerospace & Satellite Security
Creator Stage 6,Friday,3:30 PM,Hunting for Cryptographic Ghosts: A Bug Hunter's Guide to Signature Malleability and Replay Attacks in EVM Bridges & Multi-Sigs,Samet Berk Simsek; Ahmet Furkan Aydogan,"In the realm of Web3 bug bounties, smart contract logical flaws are highly sought after, but the most devastating, seven-figure bounties often lie within fundamental cryptographic implementation errors. Specifically, ECDSA signature malleability and faulty multi-signature threshold state management are responsible for...",Bug Bounty / Vulnerability Research
Main Track 2,Friday,3:30 PM,Your Bank Thinks I'm You: A Complete Kill Chain Against Mobile Banking Security,"Xavier ""@xaferima"" Riofrio Machado; Alex Tipan","Mobile banking apps stack multiple security layers: RASP (runtime protection), root/jailbreak detection, anti-instrumentation, biometric KYC with liveness detection, and AI-powered anti-deepfake. Each layer promises to stop attackers.",Mobile Security
Main Track 4,Friday,3:30 PM,Riding for Free - Breaking Public Transport RFID at Scale,"Aidan ""luu176"" Nakache",How many of you tapped an RFID card to ride a train this year? How many of you know what's actually stored on it?,RF & Wireless Security
Creator Stage 2,Friday,3:45 PM,Step Zero: Identifying the Quantum Attack Surface in Critical Infrastructure,Dr. Katrina Rosseini; Dr. Allan Friedman,"Every wire transfer, banking session, API transaction, and SWIFT message depends on RSA and ECC cryptography that a sufficiently powerful quantum computer will eventually break with Shor's algorithm. That part is well known.",Cryptography & Privacy
Creator Stage 3,Friday,3:45 PM,"Snap, Crackle, Popped: How to manage a massive cyber attack",David Nathans,"First hand account of the inner workings of a massive breach, what works what does not and where the wheels fall off the bus quick.",Blue Team / Detection Engineering
Creator Stage 4,Friday,4:00 PM,The Door Was Already Open,Champ,"Physical access control systems are often assumed to be secure, but many rely on flawed design assumptions, and can contain misconfigurations. This talk examines a widely deployed platform, where internet-exposed panels, numeric-only passcodes, and predictable communication patterns enable remote discovery and access...",Physical Security
Creator Stage 5,Friday,4:00 PM,Building a State Wide VDP: Lessons from Maryland's First Year in the Trenches,01dbae,"State and local governments are soft targets. Smaller security teams, legacy infrastructure, high-value data, and tight budgets make them attractive to adversaries.",Bug Bounty / Vulnerability Research
Creator Stage 6,Friday,4:00 PM,"Practical Guidance for RF Researchers: Experiment First, Interfere Never",Andy Hendrickson,"Practical Guidance for RF Researchers: Experiment First, Interfere Never. The world needs more experimentation.",RF & Wireless Security
Main Track 1,Friday,4:00 PM,The Sandbox is a Suggestion: Deconstructing AI Agent Sandboxes,Elad Meged,"Every major AI coding agent ships inside a containment system. I analyzed three of them - Anthropic's Claude Code, Google's Gemini CLI, and OpenAI's Codex CLI - and each one breaks on its own terms.",AI/ML Security
Main Track 3,Friday,4:00 PM,Certified Re-Pwned: escalating all the way up,Daniel Monzon; Eric Labrador,"Four years after KB5014754 and one year after CVE-2024-49019, every hardening guide says Active Directory Certificate Services is a closed book. This talk reopens it.",Identity & Access Security
Main Track 5,Friday,4:00 PM,Hacking the EOD Bot: How I Learned to Stop Worrying and Love the Boomba,"Patrick ""gigstorm"" Kiley; Emily ""@astradotpng"" Astranova","What happens when you wander into a surplus store and walk out with a bomb disposal robot? You name him ""Boomba"" and tear him apart.",Hardware & Embedded Security
Creator Stage 1,Friday,4:30 PM,Legally Hacked: how countries decide when security research Is allowed,"Katharina ""Kat S"" Sommer","As governments increasingly rely on vulnerability disclosure to secure digital systems, many security researchers still operate under cybercrime laws that criminalise the very activity those frameworks depend on. This talk offers a fast‑paced, global comparison of how different countries are addressing that paradox.",Privacy & Policy
Creator Stage 2,Friday,4:30 PM,Crypto Is Fine. The Code Is Not: Real-World Cryptographic Failures,Diptendu Kar,"Data-driven look at how developers keep misusing cryptography in the code surrounding it (missing checks, implicit trust) rather than in the underlying math.",Cryptography & Privacy
Creator Stage 3,Friday,4:30 PM,Lights Out and Last Call: A Drunken Tabletop on Medical Device Resilience,Courtney McCarty,"Healthcare cyber exercises often end at compromise: ransomware lands, systems fail, and the red team wins. Yay (eyeroll).",Medical Device Security
Creator Stage 4,Friday,4:30 PM,AgentBreaker: A blind spot detector for your coding agents,Aditi Narasimhan; Farzaan Kaiyom,"Coding agents have the capability to write and ship production code with little human review, which can lead to large-scale security threats. At Corridor, we believe in securing code generation at the source: by augmenting coding agents with the necessary security tooling.",AI/ML Security
Creator Stage 4,Friday,4:30 PM,Covert Quantum Computing - a new quantum security paradigm,Evan Anderson,Introduces a new quantum security paradigm relevant to covert computing and cryptographic threats.,Cryptography & Privacy
Creator Stage 6,Friday,4:30 PM,Groking the Kill Chain,Anthony Russell,"Most LLM-powered recon tools look impressive in a 90-second demo and fall apart on real targets. They hallucinate, loop, go out of scope, double-fire the same endpoint, or die the moment a WAF or rate limit appears.",OSINT
Main Track 2,Friday,4:30 PM,noRecognition: Could a pattern on your clothing fool Facial Facial Recognition?,"Bill ""hevnsnt"" Swearingen","Demonstrates how printed clothing patterns can be used to fool facial recognition systems that track people via cameras, ATMs, and smart streetlights.",Privacy & Policy
Main Track 4,Friday,4:30 PM,"CloudBashing: Exploiting free CloudShells for mining, networking, exfil, and persistence at scale","Jenko ""edleft"" Hwong; Chris Ryan","CloudBashing started with reversing the private AWS, Azure, and GCP CloudShell REST and websocket terminal protocols, then tracing and analyzing janky browser authentication/credential flows from cookies to OAuth tokens. Along the way, we automated the APIs to access free CPU/networking, maintained access across...",Cloud Security
Creator Stage 1,Friday,5:00 PM,Lessons Learned from Poland and Beyond: The State of Electric Sector Attacks in 2025,Joe Slowik,"2026 featured news of a new attempted, disruptive cyber attack against the electric sector. Instead of transmission or distribution in Ukraine, however, the event focused on generating assets in Poland.",ICS/OT Security
Creator Stage 4,Friday,5:00 PM,Q-Day - the Early Years…,Konstantinos Karagiannis,A look back at the early days of quantum computing threats to cryptography and what's changed since.,Cryptography & Privacy
Creator Stage 5,Friday,5:00 PM,Scaling Adversary Emulation with Autonomous Agents,Daniel Fabian,"Manual red teaming cannot keep pace with modern enterprise attack surfaces, but autonomous agentic red teams offer a scalable alternative. In this talk we will present our experience and results on how to build and safely deploy offensive AI agents to conduct continuous, multi-stage adversary simulations at large...",Red Team / Adversary Emulation
Creator Stage 6,Friday,5:00 PM,Latest News in the Proxmark World,Iceman,"A whirlwind tour of the latest developments in the Proxmark ecosystem, from new hardware announcements and firmware releases. We'll explore what's new in the RFID security landscape, highlight recent innovations from the community, and take a look at where the Proxmark platform is headed next.",RF & Wireless Security
Main Track 1,Friday,5:00 PM,Hacking AI,Bruce Schneier,"Bruce Schneier explores how humans are hacking AI systems, hacking with AI systems, and how AI itself is beginning to find and exploit vulnerabilities.",AI/ML Security
Main Track 3,Friday,5:00 PM,Gotta Catch 'Em All: How To Capture 3.5 Billion WhatsApp Accounts,Maximilian Guenther; Gabriel Gegenhuber,"Contact discovery on instant messengers is designed to help users find their friends. But when identifiers are predictable and safeguards are weak, it allows attackers to find everyone.",OSINT
Main Track 5,Friday,5:00 PM,One Chain to Own Them All - Breaking AI Infrastructures,"Ji'an ""azraelxuemo"" Zhou; Lei ""llfamsec"" Lu","2025 marks the dawn of AI security. Pwn2Own Berlin launched its first AI track, featuring Ollama and Triton Inference Server, while ZeroDay.Cloud introduced new challenges targeting vLLM and Ollama.",AI/ML Security
Creator Stage 2,Friday,5:15 PM,"2026 is the New 2016: Relearning the Lessons from the ""Year of the Data Breach""",Anthony Hendricks,"Even before the clock struck midnight on January 1st, social media began posting how 2026 is the new 2016. With memes, throwback pictures, and nostalgic posts showing up on TikTok, X, and Instagram.",Cryptography & Privacy
Creator Stage 3,Friday,5:15 PM,"Where hackers find their people, and security finds its strength",Seeyew Mo; Ashley S; Tatiana U; Heidi Potter; Christine Billingsley,"Before it was an industry, this was just people. Curious folks poking at things, breaking stuff to figure out how it worked, and telling the next person what they found.",Community/Keynote
Creator Stage 1,Friday,5:30 PM,"Exposed Data Centers: Bypass IT Security, Crank Up the Heat",Stephen Hilt; Numaan Huq,"As data center numbers are increasing in the US and around the world, they are becoming a source of tension politically, environmentally, and economically, and are becoming high-value critical infrastructure. The threats to these data centers will rise soon as activists, cybercriminals, and nation-states target them.",ICS/OT Security
Creator Stage 4,Friday,5:30 PM,Hacking Hearts by Reverse Engineering Pacemaker Firmware,Marie Moe; Shayan Alinejad; Kristian Karlsen,"Gradually we are all becoming more and more dependent on connected technology. We will be able to live longer with an increased quality of life due to medical devices and sensors attached to, or integrated into our bodies.",Medical Device Security
Creator Stage 7,Friday,5:30 PM,AI Pentesting is not a Vibe Check,Ads Dawson,"Most AI security assessments test the chatbot and miss the system. The founding technical lead of the OWASP GenAI Security Project covers what actually breaks when you pentest AI applications across three distinct attack tiers - model exploitation, application-layer flaws, and agentic architecture failures - drawing...",AI/ML Security
Main Track 2,Friday,5:30 PM,Breaking Hardware CFI with Sigreturn,"Omri ""beta_b0t"" Ben Bassat","Modern ARM64 systems rely on hardware Control-Flow Integrity (CFI) such as PAC and BTI to kill classic ROP/JOP exploits. Indirect branches must land on valid targets, returns are signed, and arbitrary jumps are supposed to be over.",Exploit Development
Main Track 4,Friday,5:30 PM,You've Got Mail (That Was Meant For No One),"Cøry ""interpünkt"" Solovewicz","In 2020, I registered a domain on a whim, mostly because I thought it would be hilarious for email, and then forgot about it. Then a city government faxed me their internal documents.",OSINT
Creator Stage 1,Saturday,10:00 AM,"Whose Agent Is It Anyway? Agency, Authorization, and Accountability in the Year of the AI Agent",Andreas Kaltsounis; Jacob Wall,DEF CON 34's theme is Agency-as in digital self-determination. This is also the year agentic AI went mainstream.,Privacy & Policy
Creator Stage 2,Saturday,10:00 AM,RIP Denuvo: DRM in a Post-Hypervisor World,Amin Hussien,"For a decade, Denuvo stood as the gold standard of game DRM. That reign has come to an abrupt end.",Game Hacking
Creator Stage 3,Saturday,10:00 AM,MCPwned: How Exposed AI Agents Became the Internet's New Recon Toy,Eli Woodward,"This talk examines how exposed AI infrastructure is becoming a new adversary playground, as attackers and internet-scale scanners and bruteforcing target LLM gateways, MCP servers, local inference APIs, and AI developer tooling faster than defenders have built threat models for them. I ran a purpose-built AI honeypot...",AI/ML Security
Creator Stage 4,Saturday,10:00 AM,To Catch a Pseudoscientist,James Utley PhD,"This talk exposes the hidden fraud ecosystem inside modern scientific research, where paywalls, paper mills, predatory journals, and fake credentials create the illusion of legitimacy. Drawing from a hacker's perspective, it examines how corruption is embedded in the system, how some actors knowingly participate while...",OSINT
Creator Stage 5,Saturday,10:00 AM,"Web3 Security: Hacks, Scams, and Exploits","Philip ""AlephNull"" Werlau; Kennashka DeSilva","Why do Web3 users keep getting hacked even when the smart contracts are audited? This workshop examines the Web3 attack surface through three lenses: the client, the dApp frontend, and the blockchain, using real-world hacks, scams, and exploits to demonstrate how each layer can fail.",Blockchain/Cryptocurrency
Creator Stage 6,Saturday,10:00 AM,Shadow Webhooks: Hunting for Dangling Event Listeners in Enterprise Workspaces,Samet Can Tasci; Mehmet Önder Key,"Enterprise SaaS environments accumulate webhooks faster than teams can track them. Slack apps, Teams connectors, Jira automations, GitHub webhooks, CI/CD callbacks, monitoring alerts, and abandoned integrations often remain active long after the receiving service, repository, domain, or owner disappears.",Bug Bounty / Vulnerability Research
Creator Stage 7,Saturday,10:00 AM,A Droidwork Orange: A Longitudinal Study of Android Security Research,Nicholas Miazzo; Eleonora Losiouk,"Community Presentation Proposal Title: A Droidwork Orange: A Longitudinal Study of Android Security Research Samuele Doria (University of Padua), Nicholas Miazzo (University of Padova), Tiziano Labruna (Fondazione Bruno Kessler), Eleonora Losiouk (University of Padua) Abstract Android has been the dominant mobile...",Mobile Security
Main Track 1,Saturday,10:00 AM,"The Ghost Key: Illusions of ""Time Management"" in TTLock Smart Locks",Yang Liu; Zhenghan Wang,"Smart locks are widely used in rental, hotel, and residential markets. As a major provider, TTLock (Sciener) operates in over 200 countries and relies on Offline Time Management to issue temporary eKeys without network access.",IoT Security
Main Track 2,Saturday,10:00 AM,Memory Laundering via Metal: What EDR Can't See on Your Mac,Hxr1,"DEF CON Abstract Metal is Apple's GPU framework, it replaced OpenGL and is now the only way to talk to the GPU on macOS. Among its buffer types is StorageModePrivate: memory managed entirely by the GPU.",Red Team / Adversary Emulation
Main Track 3,Saturday,10:00 AM,"Identity Crisis: Novel Vulnerabilities leading to Kerberos Downgrade, DoS, and Full Domain Takeover",Shai Laron,"Active Directory remains a major component of modern enterprise networks, and its security is paramount. Active Directory attack campaigns often aim to achieve Domain Admin privileges, which allow complete control over the domain.",Identity & Access Security
Main Track 4,Saturday,10:00 AM,"No Socket, No Privs, No Problem: Weaponizing OCI Registries for SSRF, Credential Theft, and Container Escapes","David ""davidrxchester"" Rochester; Nicholas ""gouldnicholas"" Gould","Every day, developers and ML engineers pull containers and models from OCI registries without a second thought. What if that pull, no privileges, no special access, could be turned into host enumeration, credential theft, remote code execution, or even a container escape?",Cloud Security
Main Track 5,Saturday,10:00 AM,From Wind Farm to CHP Plant: The Untold Story of Lateral Movement in a Polish Energy Sector Attack,Marcin Dudek,"On December 29, 2025, Poland's energy sector was hit by what we believe was the first destructive cyber sabotage attack against energy infrastructure in NATO. Our public report described attacks against 30 renewable energy sites and a large combined heat and power plant.",ICS/OT Security
Creator Stage 3,Saturday,10:30 AM,"Emulating the ""Identity-First"" Threat Actor: Automated Playbooks for IdP Hijacking",Samet Can Tasci; Mehmet Önder Key,"Modern intrusions often start with identity, not malware. Adversaries abuse IdP drift, device code flows, stale sessions, weak conditional access, helpdesk processes, SaaS integrations, and cloud role mappings.",Identity & Access Security
Creator Stage 4,Saturday,10:30 AM,The Death of Dicom,"Michael ""v3ga"" Aguilar","DICOM (Digital Imaging and Communications in Medicine) is the lingua franca of medical imaging - a decades-old protocol embedded in nearly every hospital network, PACS server, and imaging modality on the planet. It is also, by modern standards, a deeply permissive protocol: built on assumptions of trusted networks,...",Medical Device Security
Creator Stage 6,Saturday,10:30 AM,Testing API Business Logic With AI Agents: What We Got Wrong First,Samantha Pearlstein,"Automating API security testing sounds straightforward until you try it on an enterprise API with complex auth and business flows. Over the past year, we've been building AI agents to test business logic vulns.",Bug Bounty / Vulnerability Research
Main Track 2,Saturday,10:30 AM,"Harvest Now, Decrypt Later: Practical Attacks on Post-Quantum Cryptography Implementations",Aleksandr Krasnov,"Post-quantum cryptography is being deployed to defeat a computer that doesn't exist yet - and the rush is opening a wide, purely classical attack surface today. This talk walks three implementation attack vectors against NIST's lattice standards (ML-KEM / FIPS 203, ML-DSA / FIPS 204): (1) memory corruption at the...",Cryptography & Privacy
Main Track 4,Saturday,10:30 AM,Root From Kilometers Away: Ubiquiti AirMax RCE,Federico Kirschbaum; Gaston Aznarez,You don't realize it until you see them; they're everywhere. From Wireless ISP links to the frontline of modern warfare.,Network Security
Creator Stage 2,Saturday,10:45 AM,Dreamcast Ex Inferis: RCE on the Sega Dreamcast PlanetWeb Browser,"Christopher ""Piffd0s"" Hernandez",The PlanetWeb Internet Browser v3.0 (2000-2001) is the official disc that let you browse the web and read email on a Dreamcast. Its online features depend on a backend server that no longer exists.,Game Hacking
Creator Stage 3,Saturday,11:00 AM,The Camera Is Lying: RTSP Trust Failures in Modern Surveillance Systems,"Bogdan ""BOTEZATU""","Surveillance cameras sit at the intersection of physical security, privacy, and critical infrastructure. Yet many still rely on decades-old streaming protocols and fragile trust assumptions that receive far less scrutiny than web interfaces or cloud APIs.",IoT Security
Creator Stage 4,Saturday,11:00 AM,No Entry: Badge Access Denial on Demand,Andrew Quill,Badged access is one of the most common security controls to enforce 2 factor physical access. In this presentation we will remove this on demand and demonstrate forcing access verification to a lower tier as well as preventing others from utilizing badged access cards.,Physical Security
Creator Stage 5,Saturday,11:00 AM,Security Analysis of Open-Source Software Used in Onboard Satellite Systems,Roee Idan,"Satellite missions are increasingly making use of open-source software, but this creates a unique security challenge for space systems. Unlike conventional IT environments, updating software onboard satellites can be far more difficult due to operational risk, limited access windows, mission validation requirements,...",Aerospace & Satellite Security
Creator Stage 6,Saturday,11:00 AM,Gold Bug: Puzzle Panel with Friends,CPV Gold Bug Team 2026; TBD,The Crypto & Privacy Village's Gold Bug team hosts a live puzzle-solving panel with the community.,Community/Keynote
Creator Stage 7,Saturday,11:00 AM,Building a Hacker Haven: The Long Game of Growing a Local Hacker Community,Ryan Zagrodnik; Allie Zagrodnik,"DEF CON 30 sent us home with an idea: our city needed a hacker community. Three years later, that idea has grown into a 501(c)(3) nonprofit, a thriving monthly meetup, a network that helped us launch a regional conference (wiscon.io), and a long-term vision for a brick-and-mortar hackerspace.",Community/Keynote
Main Track 1,Saturday,11:00 AM,Tracking the Trackers: How We Took Over 36 Million GPS Devices Protecting Children and Vehicles,Felipe Solferini; Vangelis Stykas,"We performed our research against three major GPS tracking platforms: SETracker (~10M devices, 39 brands), SinoTrack (6M+ devices), and TKSTAR/Thinkrace (20M+ devices). All three come from the same Shenzhen supply chain.",IoT Security
Main Track 3,Saturday,11:00 AM,Forgotten but Not Gone: Unauthenticated RCEs and LPEs in Legacy Linux Services,Ron Ben Yizhak,"The cybersecurity community chases the greatest risks in the latest tech, while components with outdated security principles gather dust. Companies rush to secure their latest AI product, while their network remains the same.",Exploit Development
Main Track 5,Saturday,11:00 AM,Very Pwned: Hacking Verifone's card machine three times in a row,Reino Mostert,"Everyday billions of credit card transactions are made worldwide, with the vast majority being done on purpose-built card machines. In the USA alone, nearly 400 million transactions are performed per day on these popular devices present in nearly every retail store.",Payment Security
Creator Stage 1,Saturday,11:30 AM,Nuclear Industrial Control System Simulation (NICSSIM) aka Multi-Agent Cyber Defense Framework for Distributed Nuclear Operational Technology Systems,Carmela Gonzales; Brian G. Rodiles Delgado; Marco A. Alanis Komiyama,"In-person live demonstration (talk plus live demo), 30 minutes Abstract: As small modular reactors (SMRs) are deployed as distributed energy resources, their interconnected digital infrastructure expands the cyber attack surface across nuclear operational technology (OT) in ways that traditional, rule-based security...",ICS/OT Security
Creator Stage 2,Saturday,11:30 AM,Catching Cheaters in Super Smash Bros Melee,AltF4,"Super Smash Bros Melee for the Nintendo GameCube is one of the oldest active fighting game communities, with a storied 25 year history. Would you believe that people try to cheat at it?!",Game Hacking
Creator Stage 5,Saturday,11:30 AM,So You Want to Work in Aircraft Cyber? Here's what you need to know!,Matt Gaffney; Marcie Wise,"As the Aviation industry struggles to recruit people with the right combination of knowledge and/or experience of Cybersecurity and Aviation ecosystems, this presentation will provide a very fast overview of the topics people wishing to break into the industry should consider learning more about. This will be a...",Aerospace & Satellite Security
Creator Stage 7,Saturday,11:30 AM,Compiling the World: A Binary Dataset Built from nixpkgs,Chris Connelly,"Reverse engineering binaries is slow, detailed work, but it's one of the few ways we have to verify what some software actually does. Machine learning might help improve some of those challenges, but only if you have high-quality, real-world ground truth to train and evaluate on.",Reverse Engineering
Main Track 2,Saturday,11:30 AM,Thin Client? Thin Crypto - Bypassing Full-Disk Encryption Across Three Major Thin Clients Vendors without Breaking a Cipher,Darren McDonald,"Thin clients are deployed across healthcare, finance, government and critical infrastructure, environments where full disk encryption is a compliance requirement, not optional. Dell, IGEL and HP all ship FDE backed by TPM hardware and modern cryptography.",Cryptography & Privacy
Main Track 4,Saturday,11:30 AM,Your OTP Never Arrived: Attacking the Trust Boundary Where SMS Meets the Internet,"Kyprianos ""kavasilo"" Vasilopoulos; Nikos ""nickvourd"" Vourdas","Kannel is the most widely deployed open-source SMS and WAP gateway in the world. With over 1000+ internet-facing instances across 65 countries, powering two-factor authentication, mobile banking, emergency alerts, and carrier-grade messaging, it forms a silent but critical pillar of global telecommunications...",Network Security
Creator Stage 3,Saturday,11:45 AM,Anyone Can Hack IoT (Even Easier Now) - A Beginner's Guide to AI Augmented IoT Hacking,Andrew Bellini,"Two years ago I gave a popular talk at Defcon called ""Anyone Can Hack IoT"" and the message was simple, you don't need expensive gear and I can show you how. All of that is true, but now it's even easier and I want to show you why.",IoT Security
Creator Stage 1,Saturday,12:00 PM,Local Language Models in OT - Basics and Considerations,Vivek Ponnada,"AI models are everywhere but most are talking about Frontier models that might not be deployable in OT environments. Either due to regulations or data sensitivity, local models might be the answer to extract more value out of various OT datasets.",ICS/OT Security
Creator Stage 2,Saturday,12:00 PM,Please Place Your Electronic Devices in {Maritime} Mode: Exposing NTN's Maritime Attack Surface,Jason Veara,"Many Mariners share a sigh of relief once the sight of shore disappears. Sail far enough from the mainland, and the distractions of the cellular world fade away.",Maritime Security
Creator Stage 5,Saturday,12:00 PM,"Minimize Harm, Maximize Defense: How Anthropic Navigates the Offense-Defense Divide",Curt Barnard⁩,"Cybersecurity capabilities are inherently dual use: the same tools that help defenders find and fix vulnerabilities can, in the wrong hands, be the precursor to a cyberattack. As AI models grow more capable, this tension intensifies.",AI/ML Security
Creator Stage 5,Saturday,12:00 PM,This Wasn't AI Generated: Principles for Breaking Generative Watermarks,Thomas Mason; Tahseen Rabbani,"The SynthID watermark was developed by Google to invisibly tag content generated by its models and agents (Nano Banana, Gemini, etc.). When asked to identify whether an image is AI-generated, Gemini will invoke a ""Verify AI"" tool to scan for the SynthID.",AI/ML Security
Creator Stage 6,Saturday,12:00 PM,Killing AI Slop: A Multi-Model Orchestration Framework That Only Reports Findings It Can Prove,Armaan Pathan,"AI-assisted bug hunting has a reliability problem. Modern models can generate convincing vulnerability reports, but many fail under validation.",Bug Bounty / Vulnerability Research
Creator Stage 7,Saturday,12:00 PM,KYC and XMR… FOR HACKERS!,AltKey,An overview of handy usecases for specific crypto currencies for technologists.,Blockchain/Cryptocurrency
Main Track 1,Saturday,12:00 PM,Rage Against the Sandbox: Bypassing Apple's iOS Security to Run Unsigned Code via SSH,Yuval Hanoch Hirschenbein Sadde,"Apple's Sandbox and code signing have made traditional security research impractical on iPhones - researchers must use full-system emulation or hunt for increasingly rare jailbreak exploits. The Sandbox blocks fork(), which shells need for job control.",Mobile Security
Main Track 3,Saturday,12:00 PM,The Glass Perimeter: Systematic Bypasses in Biometric Frameworks and the Rise of Synthetic Identity,Dan Borgogno; Javier Bernardo,"Identity is the new perimeter, and biometrics are its supposed gatekeepers. But what happens when the gatekeepers are blind to the reality they consume?",Identity & Access Security
Main Track 5,Saturday,12:00 PM,C(2)YA: Inside the Adversary's Inbox,Vitaly Simonovich,85 findings exploitable from the internet with zero prior access. 28 takedown chains. Crypto failures that let you decrypt all C2 traffic with one recovered key.,Malware & Threat Intelligence
Creator Stage 1,Saturday,12:30 PM,Privacy You Inherit: How Cultural History Writes the Source Code for AI Surveillance Policy,Tati,Privacy isn't a principle. It's an inheritance - and AI is accelerating past every inheritance at once.,Privacy & Policy
Creator Stage 2,Saturday,12:30 PM,Maritime Threat Hunting: What We Actually Find When We Look,Cliff Neve; Philip Acosta; Dean Macris,"You cannot secure what you cannot see. As maritime organizations work to improve cyber resilience, many are discovering that the biggest challenge is not detecting threats.",Maritime Security
Creator Stage 3,Saturday,12:30 PM,Raiders of the Lost Firmware: A Hands-On Workshop in IoT Firmware Archaeology,Simone Bossi; Luca Borzacchiello,"Modern IoT firmware often appears protected behind proprietary encryption, stopping analysis before it starts. However, in many cases the fastest path forward is not to break the cryptography, but it is to reuse the vendor's own implementation via targeted function emulation.",IoT Security
Creator Stage 6,Saturday,12:30 PM,Eating Our Own Dogfood: Running a Bug Bounty Program on a Bug Bounty Platform,Shrimant Subhash More; Martzen Haagsma,"At HackerOne, the same community that submits vulnerability reports also tests the platform they use to report them. Every report becomes a live stress test of our product, workflows, assumptions, and newly shipped features.",Bug Bounty / Vulnerability Research
Creator Stage 7,Saturday,12:30 PM,Donating Bone Marrow: A Donor's First-Hand Experience,National Marrow Donor Program (Be the Match),"Donating bone marrow can save lives, but many don't understand what it really involves. Find out the experience and how you can help participate in one of the coolest bio-hacks ever.",Community/Keynote
Main Track 2,Saturday,12:30 PM,Writing to Shadow Stacks,"Vladimir ""G1ND1L4"" Tokarev",CET shadow stacks are supposed to make return-address corruption a dead end. This talk presents three techniques that write attacker-chosen values directly into shadow stack memory on Linux.,Exploit Development
Main Track 4,Saturday,12:30 PM,Compounding Interest: Exploiting the ATM Supply Chain,Matt Burch,"ATMs are the ultimate high-stakes target, often holding upwards of $400,000 in a single enclosure. While the global financial industry relies on a narrow pool of manufacturers, the software supply chain securing these ""vaults"" remains an underexamined attack surface.",Hardware & Embedded Security
Creator Stage 2,Saturday,1:00 PM,"Tag, You're It: Physical Tracking Tech, Defense, and How to DIY Your Own",Eddie Miro,"We live in an era where our location data is constantly harvested, but what happens when the tracking becomes physical? From the clandestine beacons of the Cold War to the consumer-grade AirTags tucked into backpacks today, physical tracking technology has become incredibly cheap, accessible, and pervasive.",OSINT
Creator Stage 4,Saturday,1:00 PM,"Safe, Secure, and Effective: What Static Behavior Analysis Reveals About the Software Running Your Medical Devices",Andrew Hendela,"When a patient monitor misreads an ECG or an infusion pump miscalculates a dose, the root cause is software behavior, not a CVE. Yet the entire medical device security industry is fixated on vulnerability scanning and SBOMs while ignoring the harder question the FDA actually asks: does this software behave in ways...",Medical Device Security
Creator Stage 5,Saturday,1:00 PM,Evading LLM Detection,Hanley Shun; Cong Zhang; ⁨Oscar Skjerven,"Software supply chain attacks are no longer a distant threat - they are happening at scale and extremely dangerous from a crypto exchange's POV. As build pipelines grow more complex and dependencies multiply across npm, PyPI, SBOM, and internal registries, a single scanning layer is no longer enough to detect...",Malware & Threat Intelligence
Creator Stage 6,Saturday,1:00 PM,Building Better Backdoors Than China,Khael Kugler,"PhantomShell is a Linux command & control implant that sniffs traffic of active TCP services to create a bidirectional C2 channel through any open port, using only stateful inbound traffic. It captures packets at the link layer, allowing it to read packets destined for legitimate services.",Red Team / Adversary Emulation
Creator Stage 7,Saturday,1:00 PM,Building a Strong Community Culture presented by DC407,Edna Jonsson; Dustin,"Healthy DEF CON Groups are built by more than one person. This session focuses on creating a community culture where members are encouraged to participate, contribute, speak, volunteer, and eventually help lead.",Community/Keynote
Main Track 1,Saturday,1:00 PM,gpwn: Wiretapping fiber (GPON) ISP deployments from the comfort of your home,"Rithwik ""thel3l"" Jayasimha; Rithvik Vibhu","Have you ever wanted to know what your neighbor does on their network and what sites they're browsing? How about all the people around you on their mobile phones, on cellular data?",Network Security
